,,,,,,,,,,,,,36,,,,,,,,,,
,,,,,,,,,,,,,,,,,DENSIDAD,,HAS,,,,
,,,,, GRUPO ESCOBEDO SEGUNDO CICLO,,,,,,,,,,,,18,ORG/M2,122.1,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,, % MORT, 1.60 ,, BIOMASA,,ALIMENTO,,,,,,PRECOSECHA,,,PREC. ACUM,,,,
,TIPO DE ALIMENTO,FECHA,EDAD, pp, inc, % SOB,ORG/M2, TOTAL, KG/HA,KHD,% BW,KILOS/SEM,ACUM,FCA,PP,ORG/M2,KG TOT,KG/HA, ORG/M TOT, KG TOTALES,INGRESO,,
,APICAMARON RACEWAYS 3,17-Aug-25,0, 0.015 ,, 100.00 , 18.00 , 329.67 , 2.70 , 0.54 ,20.0%,462,374,,,,,,,,,,
,APICAMARON RACEWAYS 3,24-Aug-25, 7 , 0.60 , 0.59 , 98.40 , 17.71 ," 12,975.81 ", 106.27 , 10.63 ,10.0%,"9,083","9,545", 0.74 ,,,,,,,,,
,APICAMARON RACEWAYS 3,31-Aug-25, 14 , 1.00 , 0.40 , 96.80 , 17.42 ," 21,274.70 ", 174.24 , 13.94 ,8.0%,"11,914","21,458", 1.01 ,,,,,,,,,
,APICAMARON RACEWAYS 4,7-Sep-25, 21 , 1.50 , 0.50 , 95.20 , 17.14 ," 31,384.58 ", 257.04 , 14.91 ,5.8%,"12,742","34,201", 1.09 ,,,,,,,,,
,APICAMARON RACEWAYS 4,14-Sep-25, 28 , 2.50 , 1.00 , 93.60 , 16.85 ," 51,428.52 ", 421.20 , 16.85 ,4.0%,"14,400","48,601", 0.95 ,,,,,,,,,
, DINAMO 35´30 (1.8 mm),21-Sep-25, 35 , 3.60 , 1.10 , 92.00 , 16.56 ," 72,791.14 ", 596.16 , 23.85 ,4.0%,"20,382","68,982", 0.95 ,,,,,,,,,
, DINAMO 35´15 (1.8 mm),28-Sep-25, 42 , 4.90 , 1.30 , 90.40 , 16.27 ," 97,353.75 ", 797.33 , 30.30 ,3.8%,"25,896","94,878", 0.97 ,,,,,,,,,
, DINAMO 35´15 (1.8 mm),5-Oct-25, 49 , 6.20 , 1.30 , 88.80 , 15.98 ," 121,002.08 ", 991.01 , 37.66 ,3.8%,"32,187","127,065", 1.05 ,,,,,,,,,
, DINAMO 35´15 (1.8 mm),12-Oct-25, 56 , 7.50 , 1.30 , 87.20 , 15.70 ," 143,736.12 "," 1,177.20 ", 44.73 ,3.8%,"38,234","165,299", 1.15 ,,,,,,,,,
, DINAMO 35´15 (1.8 mm),19-Oct-25, 63 , 8.80 , 1.30 , 85.60 , 15.41 ," 165,555.88 "," 1,355.90 ", 51.52 ,3.8%,"44,038","209,336", 1.26 ,,, -   , -   , -   , -   ,,,
, DINAMO 35´15 (1.8 mm),26-Oct-25, 70 , 10.10 , 1.30 , 84.00 , 12.62 ," 155,631.10 "," 1,274.62 ", 48.44 ,3.8%,"41,398","250,734", 1.34 , 10.10 , 2.50 ," 30,830.25 ", 252.50 , 2.50 ," 30,830 "," 1,914,558.53 ",,
, DINAMO 35´15 (1.8 mm),2-Nov-25, 77 , 11.40 , 1.30 , 82.40 , 12.33 ," 171,654.04 "," 1,405.85 ", 49.20 ,3.5%,"42,055","292,790", 1.45 ,,,,, 2.50 ," 30,830 ",,,
, DINAMO 35´15 (1.8 mm),9-Nov-25, 84 , 12.80 , 1.40 , 80.80 , 10.04 ," 156,975.67 "," 1,285.63 ", 45.00 ,3.5%,"38,459","331,249", 1.51 , 12.80 , 2.00 ," 31,257.60 ", 256.00 , 4.50 ," 62,088 "," 2,119,265.28 ",,
, DINAMO 35´15 (1.8 mm),16-Nov-25, 91 , 14.20 , 1.40 , 78.00 , 9.54 ," 165,406.43 "," 1,354.68 ", 47.41 ,3.5%,"40,525","371,773", 1.63 ,,,,, 4.50 ," 62,088 ",,,
, DINAMO 35´15 (1.8 mm),23-Nov-25, 98 , 15.60 , 1.40 , 78.00 , -   , -   , -   , 47.41 ,3.5%,"40,525","412,298", 1.69 , 15.60 , 9.54 ," 181,714.10 "," 1,488.24 ", 14.04 ," 243,802 "," 13,737,586.26 ",,
,,,,,,,,,,,,,,,, 14.04 ," 243,801.95 "," 1,996.74 ",,," 17,771,410.07 ",,
,,,,,,,,,,,,,,,,,,,, POR HA,,,
,,,,,,,,,,,,,PRODUCCIÓN 2DO CICLO,,,,, ALIM TOTAL," 412,298 "," 3,377 ",,,
,,,,,,,,,,,,,,PP (GR),KG,,, FCA, 1.69 ,,,,
,,,,,,,,,,,,,1R PRECOSECHA, 10.10 ," 30,830 ",,, $/KG ALIM, 21.00 ,,,,
,,,,,,,,,,,,,2DA PRECOSECHA, 12.80 ," 31,258 ",,, PRECIO MILLAR PL,4.6,,,,
,,,,,,,,,,,,,COSECHA FINAL, 15.60 ," 181,714 ",,, COSTO ALIM," 8,658,251.85 "," 70,911.15 ",,,
,,,,,,,,,,,,,TOTAL,," 243,802 ",,, COSTO LARVA," 2,021,976.00 "," 16,560.00 ",,,
,,,,,,,,,,,,,POR HA,," 1,996.74 ",,, INGRESO TOT," 17,771,410.07 "," 145,547.99 ",,,
,,,,,,,,,,,,,,,,,, VALOR DLS, 20.00 ,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
